 ,Area
1,75.346
2,525.700
3,211.881
4,175.069
5,18.221
6,18.221
7,150.200
8,131.117
9,117.944
10,100.708
11,31.025
12,93.321
13,97.630
14,99.107
15,144.906
16,56.387
17,112.773
18,109.449
19,61.927
20,133.456
21,163.127
22,60.326
23,128.532
24,86.919
25,75.962
26,101.939
27,63.158
28,109.449
29,80.394
30,152.785
31,189.474
32,65.866
33,36.442
34,149.092
35,423.146
36,195.999
37,89.258
38,31.641
39,73.869
40,60.326
41,98.984
42,32.995
43,166.697
44,197.845
45,96.645
46,147.245
47,81.256
48,2.093
49,16622.099
50,0.123
51,148.723
52,0.985
53,1.231
54,1.108
55,0.123
56,0.739
57,167.436
58,221.976
59,157.833
60,0.862
61,52.939
62,4.186
63,0.862
64,0.492
65,118.929
66,120.037
67,198.584
68,0.492
69,259.157
70,358.880
71,0.862
72,82.364
73,130.132
74,106.494
75,62.789
76,103.786
77,0.862
78,82.610
79,60.203
80,0.369
81,131.733
82,0.862
83,16.005
84,0.739
85,132.472
86,3.324
87,110.926
88,0.985
89,0.492
90,2.832
91,910.803
92,0.862
93,227.516
94,70.422
95,106.371
96,1.477
97,155.248
98,0.862
99,0.246
100,1.354
101,3.570
102,184.426
103,123.730
104,6.648
105,128.655
106,160.172
107,1.724
108,30.409
109,96.276
110,829.178
111,56.879
112,77.932
113,26.839
114,320.960
115,1.970
116,63.281
117,147.861
118,225.546
119,99.354
120,49.000
121,439.151
122,269.868
123,41.490
124,94.675
125,24.869
126,0.616
127,190.582
128,0.246
129,257.802
130,0.123
131,66.236
132,411.819
133,81.748
134,97.014
135,64.389
136,133.949
137,106.864
138,103.170
139,132.348
140,40.135
141,129.024
142,193.413
143,38.289
144,173.838
145,127.916
146,18.467
147,163.496
148,173.592
149,166.082
150,416.005
151,0.492
152,0.616
153,1.108
154,87.165
155,88.643
156,0.616
157,116.097
158,341.890
159,556.725
160,0.616
161,0.246
162,1.847
163,0.369
164,58.480
165,418.837
166,124.469
167,102.432
168,356.417
169,165.097
170,60.080
171,132.225
172,68.329
173,106.371
174,6.156
175,0.985
176,62.296
177,97.261
178,27.085
179,131.363
180,85.442
181,173.592
182,1.724
183,159.434
184,273.807
185,21.053
186,0.246
187,81.502
188,2.093
189,274.054
190,144.167
191,0.862
192,98.861
193,46.414
194,77.070
195,1.600
196,39.520
197,396.553
198,628.501
199,139.120
200,83.349
201,0.616
202,431.394
203,131.856
204,68.206
205,271.099
206,0.492
207,104.771
208,79.409
209,3019.267
210,0.616
211,88.766
212,0.123
213,0.123
214,110.803
215,2.093
216,2.216
217,158.203
218,349.892
219,0.369
220,61.065
221,58.972
222,1.354
223,40.382
224,452.570
225,89.504
226,0.985
227,1.108
228,3940.536
229,0.123
230,0.246
231,219.021
232,0.369
233,0.369
234,3.078
235,0.739
236,81.010
237,0.246
238,89.504
239,0.985
240,106.248
241,0.492
242,164.481
243,0.492
244,335.980
245,54.909
246,91.967
247,97.014
248,177.162
249,275.408
250,0.616
251,16.374
252,0.123
253,2.339
254,105.017
255,1.108
256,51.216
257,169.529
258,102.801
259,1.477
260,126.439
261,152.785
262,73.869
263,214.220
264,53.186
265,204.494
266,0.246
267,57.618
268,142.074
269,286.242
270,1.600
271,25.485
272,101.693
273,238.720
274,58.726
275,245.368
276,64.635
277,139.858
278,40.997
279,81.748
280,125.700
281,0.123
282,135.303
283,628.255
284,155.617
285,151.677
286,69.683
287,84.211
288,1.231
289,79.902
290,0.985
291,177.408
292,112.896
293,155.248
294,221.360
295,86.180
296,3.940
297,221.237
298,53.062
299,69.560
300,56.140
301,1.970
302,825.239
303,87.412
304,65.128
305,177.655
306,145.768
307,403.817
308,81.010
309,618.036
310,30.779
311,168.790
312,45.306
313,24.007
314,212.989
315,112.158
316,122.622
317,65.251
318,79.655
319,510.311
320,118.560
321,0.616
322,94.675
323,2.709
324,167.682
325,157.094
326,160.788
327,171.253
328,93.690
329,87.042
330,378.209
331,367.128
332,85.934
333,82.733
334,92.213
335,60.696
336,112.773
337,140.474
338,26.962
339,77.193
340,142.567
341,58.356
342,143.183
343,151.431
344,80.517
345,267.036
346,24.992
347,145.522
348,0.123
349,583.072
350,0.492
351,145.891
352,87.165
353,196.491
354,68.944
355,118.929
356,191.936
357,868.575
358,160.295
359,8.987
360,78.424
361,52.816
362,109.695
363,0.369
364,0.246
365,79.409
366,168.298
367,51.831
368,449.492
369,71.776
370,65.128
371,135.673
372,1.477
373,94.183
374,85.072
375,583.195
376,93.321
377,216.190
378,52.570
379,82.979
380,39.397
381,0.862
382,1.354
383,159.064
384,171.868
385,469.191
386,87.288
387,126.316
388,67.590
389,118.313
390,100.092
391,135.796
392,111.050
393,100.092
394,138.012
395,0.492
396,67.221
397,0.369
398,42.105
399,47.522
400,21.299
401,12.558
402,17.729
403,6.894
404,0.492
