 ,Area
1,424
2,332
3,1
4,166
5,621
6,1
7,520
8,491
9,14
10,401
11,4
12,49
13,611
14,964
15,284
16,519
17,7
18,79
19,22
20,247
21,222
22,3
23,699
24,510
25,569
26,34
27,452
28,7
29,391
30,431
31,1
32,825
33,7
34,623
35,282
36,122
37,1816
38,10
39,830
40,43
41,4
42,653
43,797
44,3
45,717
46,205
47,895
48,455
49,115
50,6
51,165
52,619
53,593
54,309
55,576
56,12
57,329
58,1
59,352
60,2
61,59
62,457
63,929
64,770
65,296
66,302
67,1336
68,298
69,427
70,44
71,308
72,69
73,977
74,739
75,16
76,314
77,31
78,15
79,3
80,269
81,400
82,445
83,3
84,34
85,153
86,16
87,354
88,428
89,1
90,799
91,528
92,902
93,293
94,244
95,17
96,451
97,77
98,718
99,7
100,1
101,259
102,421
103,37
104,335
105,728
106,2
107,7
108,672
109,454
110,307
111,190
112,44
113,884
114,27
115,348
116,338
117,364
118,255
119,608
120,1
121,6
122,19
123,525
124,13
125,3
126,342
127,3
128,11
129,768
130,634
131,709
132,428
133,788
134,489
135,351
136,9
137,180
138,694
139,740
140,4
141,724
142,591
143,664
144,593
145,370
146,1
147,318
148,639
149,57
150,8
151,33
152,5
153,43
154,4
155,1
156,12
157,3
158,501
159,420
160,516
161,84
162,499
163,24
164,2
165,861
166,4
167,573
168,497
169,293
170,423
171,582
172,265
173,667
174,2452
175,60
176,871
177,324
178,30
179,4
180,437
181,10
182,13
183,278
184,23
185,272
186,2
187,465
188,47
189,17
190,584
191,268
192,988
193,4
194,15
195,11
196,13
197,290
198,330
199,503
200,343
201,6
202,4
203,56
204,455
205,802
206,622
207,12
208,8
209,574
210,554
211,2
212,15
213,380
214,274
215,5
216,458
217,346
218,248
219,8
220,6
221,1
222,2
223,399
224,483
225,38
226,7
227,560
228,4
229,348
230,5
231,8
232,9
233,7
234,14
235,353
236,7
237,544
238,1
239,8
240,411
241,23
242,1
243,28
244,27
245,34
