 ,Area
1,175
2,44
3,16
4,34
5,38
6,254
7,12
8,29
9,102
10,8
11,187
12,125
13,205
14,40
15,174
16,221
17,78
18,182
19,175
20,206
21,214
22,51
23,4
24,62
25,189
26,89
27,175
28,169
29,230
30,192
31,152
32,82
33,213
34,225
35,199
36,34
37,217
38,295
39,189
40,86
41,70
42,28
43,407
44,263
45,206
46,229
47,164
48,32
49,230
50,166
51,18
52,183
53,187
54,259
55,218
56,192
57,57
58,231
59,193
60,2
61,117
62,121
63,107
64,135
65,7
66,190
67,239
68,78
69,164
70,220
71,165
72,174
73,146
74,98
75,196
76,217
77,58
78,126
79,112
80,43
81,169
82,193
83,95
84,6
85,102
86,118
87,7
88,122
89,152
90,208
91,168
92,22
93,192
94,86
95,182
96,150
97,218
98,172
99,180
100,267
101,187
102,198
103,126
104,190
105,155
106,188
107,120
108,68
109,77
110,37
111,122
112,67
113,84
114,233
115,17
116,208
117,196
118,176
119,43
120,139
121,9
122,209
123,391
124,348
125,89
126,36
127,233
128,99
129,37
130,234
131,82
132,218
133,163
134,47
135,310
136,35
137,52
138,169
139,342
140,7
141,171
142,294
143,66
144,205
145,168
146,50
147,284
148,166
149,236
150,198
151,356
152,153
153,174
154,173
155,247
156,59
157,204
158,4
159,247
160,202
161,215
162,406
163,159
164,268
165,299
166,26
167,272
168,197
169,39
170,67
171,291
172,12
173,156
174,216
175,171
176,138
177,208
178,191
179,236
180,268
181,41
182,97
183,181
184,82
185,241
186,304
187,130
188,2
189,253
190,36
191,309
192,92
193,339
194,161
195,66
196,24
197,139
198,41
199,239
200,150
201,277
202,252
203,1
204,36
205,90
206,158
207,246
208,361
209,5
210,147
211,191
212,135
213,287
214,177
215,181
216,164
217,83
218,212
219,133
220,263
221,102
222,314
223,333
224,241
225,513
226,131
227,73
228,189
229,149
230,315
231,227
232,33
233,220
234,345
235,32
236,178
237,92
238,281
239,127
240,167
241,217
242,15
243,20
244,256
245,171
246,161
247,293
248,44
249,250
250,225
251,313
252,53
253,228
254,185
255,164
256,109
257,180
258,134
259,208
260,171
261,18
262,134
263,238
264,332
265,65
266,232
267,57
268,262
269,311
270,188
271,426
272,172
273,180
274,107
275,238
276,207
277,127
278,223
279,188
280,160
281,149
282,230
283,131
284,362
285,258
286,263
287,131
288,237
289,179
290,56
291,145
292,204
293,133
294,348
295,159
296,38
297,51
298,145
299,467
300,102
301,204
302,89
303,325
304,175
305,284
306,180
307,266
308,21
309,104
310,26
311,223
312,28
313,139
314,220
315,229
316,3
317,362
318,128
319,52
320,379
321,138
322,166
323,141
324,24
325,76
326,249
327,277
328,178
329,387
330,166
331,157
332,346
333,3
334,157
335,244
336,208
337,235
338,183
339,326
340,35
341,155
342,274
343,216
344,241
345,253
346,185
347,32
348,70
349,54
350,59
351,315
352,170
353,123
354,28
355,367
356,149
357,224
358,349
359,158
360,366
361,226
362,405
363,368
364,151
365,164
366,171
367,369
368,205
369,33
370,275
371,234
372,9
373,243
374,270
375,262
376,162
377,199
378,36
379,31
380,365
381,50
382,276
383,173
384,172
385,284
386,106
387,227
388,182
389,278
390,37
391,101
392,234
393,199
394,181
395,81
396,253
397,273
398,186
399,444
400,83
401,44
402,314
403,170
404,241
405,68
406,227
407,295
408,41
409,187
410,316
411,488
412,263
413,93
414,127
415,106
416,182
417,250
418,384
419,162
420,234
421,291
422,406
423,272
424,109
425,222
426,20
427,253
428,145
429,4
430,39
431,237
432,95
433,133
434,87
435,332
436,258
437,285
438,301
439,211
440,24
441,253
442,164
443,335
444,138
445,179
446,61
447,191
448,437
449,175
450,101
451,7
452,470
453,29
454,368
455,214
456,279
457,208
458,265
459,248
460,199
