 ,Area
1,358
2,20
3,1
4,1
5,339
6,185
7,5
8,14
9,4
10,234
11,324
12,353
13,18
14,440
15,10
16,287
17,69
18,359
19,250
20,8
21,414
22,157
23,339
24,384
25,1
26,126
27,7
28,915
29,200
30,316
31,21
32,299
33,536
34,11
35,23
36,199
37,311
38,342
39,406
40,50
41,348
42,357
43,17
44,343
45,570
46,2
47,736
48,8
49,355
50,424
51,596
52,517
53,14
54,101
55,3
56,25
57,70
58,4
59,20
60,6
61,325
62,329
63,446
64,1
65,319
66,310
67,20
68,44
69,3
70,168
71,2
72,11
73,17
74,12
75,11
76,266
77,327
78,390
79,212
80,12
81,4
82,2
83,26
84,419
85,18
86,19
87,310
88,4
89,428
90,656
91,312
92,189
93,388
94,68
95,10
96,12
97,29
98,88
99,250
100,342
101,349
102,210
103,225
104,270
105,1
106,241
107,4
108,308
109,17
110,346
111,128
112,4
113,42
114,232
115,290
116,246
117,335
118,280
119,4
120,21
121,679
122,67
123,290
124,36
125,37
126,713
127,438
128,19
129,351
130,428
131,12
132,5
133,286
134,14
135,64
136,328
137,3
138,385
139,245
140,336
141,6
142,25
143,74
144,1
145,344
146,5
147,14
148,93
149,5
150,2
151,1
152,36
153,8
154,21
155,14
156,1
157,6
158,2
159,247
160,47
161,25
162,7
163,30
164,199
165,169
166,167
167,9
168,1055
169,256
170,14
171,220
172,19
173,14
174,356
175,4
176,1
177,3
178,239
179,248
180,407
181,292
182,359
183,290
184,368
185,198
186,4
187,1
188,6
189,237
190,552
191,234
192,279
193,194
194,321
195,200
196,10
197,222
198,295
199,172
200,302
201,56
202,263
203,483
204,267
205,54
206,755
207,306
208,200
209,330
210,439
211,462
212,1
213,452
214,583
215,11
216,19
217,583
218,233
219,19
220,11
221,177
222,45
223,77
224,162
225,576
226,29
227,140
228,836
229,543
230,23
231,26
232,5
233,1
234,219
235,100
236,9
237,566
238,486
239,396
240,23
241,357
242,50
243,286
244,66
245,284
246,289
247,247
248,17
249,47
250,290
251,289
252,10
253,278
254,258
255,5
256,2
257,35
258,7
259,108
260,23
261,2
262,21
263,96
264,599
265,164
266,292
267,318
268,37
269,4
270,250
271,34
272,5
273,202
274,2
275,324
276,325
277,4
278,1
279,290
280,362
281,10
282,6
283,63
284,511
285,1019
286,214
