 ,Area
533,26.223
534,53.186
535,38.289
536,44.937
537,62.296
538,3.078
539,66.974
540,68.698
541,11.327
542,28.193
543,38.781
544,32.379
545,49.492
546,26.470
547,47.892
548,40.012
549,9.849
550,38.289
551,49.738
552,0.246
553,19.945
554,48.877
555,25.854
556,53.678
557,0.123
558,28.316
559,2.955
560,0.123
561,27.208
562,24.254
563,0.246
564,27.085
565,39.889
566,21.299
567,32.010
568,20.068
569,34.965
570,0.246
571,1.108
572,2.709
573,45.676
574,114.620
575,0.862
576,1.847
577,1.477
578,64.758
579,0.492
580,8.864
581,52.570
582,27.824
583,6.279
584,68.698
585,36.811
586,1.600
587,27.085
588,32.625
589,7.756
590,30.040
591,32.502
592,0.369
593,36.934
594,1.231
595,2.339
596,1.970
597,45.676
598,46.414
599,34.965
600,4.925
601,26.347
602,0.862
603,34.595
604,1.108
605,0.862
606,11.696
607,2.955
608,19.945
609,52.570
610,59.341
611,33.241
612,60.696
613,42.844
614,34.349
615,1.724
616,40.505
617,31.394
618,45.676
619,37.427
620,26.470
621,65.128
622,0.492
623,44.321
624,38.904
625,47.030
626,26.223
627,38.658
628,28.070
629,31.641
630,44.937
631,36.688
632,59.957
633,46.907
634,6.402
635,31.517
636,45.552
637,48.015
638,34.965
639,4.186
640,23.515
641,68.944
642,55.402
643,32.379
644,36.073
645,10.834
646,23.515
647,27.701
648,51.462
649,1.477
650,19.575
651,72.145
652,9.849
653,61.557
654,26.223
655,54.909
656,52.570
657,49.985
658,23.884
659,32.625
660,69.929
661,27.331
662,64.758
663,31.887
664,22.899
665,23.392
666,31.517
667,87.658
668,40.135
669,67.836
670,27.455
671,19.575
672,19.206
673,0.123
674,2.709
675,52.447
676,63.897
677,1.477
678,11.942
679,0.616
680,2.832
681,38.042
682,41.367
683,0.123
684,0.985
685,69.806
686,1.108
687,48.753
688,54.294
689,63.650
690,9.357
691,1.108
692,50.723
693,0.123
694,0.492
695,0.369
696,0.369
697,0.616
698,74.361
699,32.872
700,38.042
701,30.163
702,0.246
703,38.042
704,79.655
705,49.861
706,0.616
707,66.605
708,44.691
709,27.455
710,0.123
711,5.048
712,41.613
713,0.492
714,45.552
715,38.781
716,0.616
717,30.409
718,48.507
719,0.862
720,1.600
721,0.369
722,42.967
723,51.954
724,24.377
725,32.995
726,3.324
727,27.455
728,31.764
729,0.369
730,51.831
731,16.990
732,30.532
733,24.007
734,29.794
735,54.294
736,53.801
737,0.492
738,1.477
739,35.457
740,55.279
741,57.618
742,13.543
743,61.804
744,62.665
745,43.090
746,5.048
747,41.367
748,34.103
749,1.477
750,36.319
751,48.384
