 ,Area
1,612
2,1362
3,1721
4,1422
5,148
6,148
7,1220
8,1065
9,958
10,818
11,1345
12,1447
13,252
14,758
15,793
16,805
17,548
18,458
19,916
20,889
21,618
22,503
23,1084
24,1316
25,490
26,1044
27,706
28,617
29,828
30,513
31,889
32,653
33,1241
34,1539
35,516
36,296
37,1211
38,3074
39,1592
40,725
41,257
42,600
43,490
44,804
45,268
46,353
47,1354
48,1607
49,785
50,1196
51,660
52,17
53,122
54,1
55,25571
56,1208
57,8
58,10
59,9
60,1
61,3739
62,41
63,26
64,6
65,28
66,1360
67,688
68,1282
69,7
70,430
71,34
72,646
73,7
74,1109
75,4
76,966
77,975
78,422
79,4
80,1250
81,30
82,2915
83,657
84,815
85,474
86,7
87,3749
88,669
89,1057
90,466
91,510
92,843
93,200
94,179
95,7
96,13839
97,671
98,1372
99,1315
100,31
101,489
102,3
103,1070
104,29
105,7
106,130
107,301
108,6
109,1076
110,27
111,901
112,8
113,21437
114,4
115,23
116,7388
117,7
118,1848
119,27472
120,572
121,864
122,25
123,25182
124,12
125,1261
126,7
127,2
128,11
129,29
130,1498
131,1005
132,54
133,1045
134,1301
135,60
136,56
137,35
138,14
139,247
140,42
141,782
142,188
143,195
144,2171
145,462
146,633
147,1437
148,46
149,218
150,1819
151,16
152,514
153,1196
154,1832
155,807
156,19
157,398
158,2585
159,931
160,2192
161,337
162,739
163,769
164,202
165,5
166,1548
167,2
168,2094
169,3068
170,26
171,35
172,1
173,278
174,526
175,3345
176,664
177,788
178,237
179,523
180,725
181,856
182,352
183,1329
184,367
185,44
186,10
187,838
188,2558
189,1075
190,326
191,23
192,92
193,1048
194,1571
195,311
196,33
197,1412
198,1039
199,1487
200,150
201,1328
202,1410
203,1349
204,3379
205,4
206,5
207,9
208,708
209,720
210,5
211,943
212,2777
213,728
214,5
215,2
216,15
217,15
218,2943
219,3
220,475
221,773
222,543
223,1011
224,832
225,690
226,1341
227,488
228,1074
229,555
230,2855
231,2125
232,864
233,50
234,8
235,506
236,790
237,220
238,1067
239,694
240,1410
241,14
242,1295
243,636
244,39
245,171
246,2
247,968
248,662
249,553
250,17
251,2226
252,663
253,7
254,803
255,377
256,626
257,13
258,321
259,3221
260,2260
261,1130
262,481
263,677
264,5
265,3504
266,1071
267,554
268,2123
269,4
270,851
271,645
272,2372
273,5
274,3230
275,721
276,797
277,1
278,1
279,73
280,796
281,900
282,17
283,18
284,1088
285,1285
286,2842
287,3
288,496
289,479
290,11
291,2083
292,328
293,3676
294,2324
295,13
296,727
297,8
298,9
299,1897
300,24927
301,1
302,2
303,1308
304,64
305,3
306,3
307,25
308,6
309,658
310,2
311,2634
312,470
313,727
314,4162
315,8
316,863
317,1370
318,4
319,1336
320,4
321,2729
322,196
323,747
324,18
325,227
326,26
327,788
328,1439
329,2237
330,5
331,133
332,1
333,19
334,853
335,1273
336,9
337,416
338,488
339,1377
340,835
341,22
342,12
343,1027
344,1241
345,600
346,1740
347,432
348,2486
349,1661
350,2
351,468
352,1154
353,933
354,13
355,1353
356,207
357,826
358,63
359,1939
360,477
361,1993
362,525
363,1136
364,333
365,664
366,1021
367,1
368,4298
369,1099
370,517
371,1264
372,4562
373,1232
374,59
375,22
376,566
377,684
378,10
379,649
380,8
381,1441
382,917
383,1564
384,1261
385,1798
386,700
387,41
388,32
389,1797
390,73
391,55
392,431
393,565
394,456
395,16
396,457
397,710
398,529
399,1443
400,3008
401,434
402,1184
403,1690
404,3246
405,658
406,377
407,4611
408,250
409,1371
410,196
411,1018
412,160
413,195
414,1730
415,911
416,996
417,530
418,647
419,731
420,32
421,963
422,5
423,769
424,22
425,1362
426,3378
427,1276
428,1306
429,1391
430,761
431,707
432,3072
433,2982
434,698
435,672
436,749
437,493
438,916
439,1141
440,219
441,627
442,1158
443,221
444,232
445,1163
446,1230
447,654
448,2169
449,203
450,1182
451,1
452,1408
453,4
454,2012
455,1185
456,324
457,1035
458,560
459,966
460,1559
461,1040
462,1302
463,1355
464,73
465,363
466,637
467,553
468,1411
469,429
470,1258
471,891
472,3
473,2
474,645
475,1112
476,1330
477,33
478,421
479,1401
480,3651
481,583
482,529
483,1102
484,12
485,765
486,691
487,492
488,3512
489,758
490,434
491,427
492,674
493,145
494,7
495,11
496,654
497,168
498,1292
499,1396
500,628
501,3127
502,709
503,1026
504,549
505,961
506,1190
507,813
508,1103
509,902
510,813
511,1121
512,4
513,625
514,546
515,3
516,342
517,386
518,173
519,102
520,88
521,56
522,53
523,4
