 ,Area
1,52.201
2,40.874
3,0.123
4,20.437
5,76.454
6,0.123
7,64.020
8,60.449
9,1.724
10,56.879
11,0.492
12,331.794
13,34.965
14,63.897
15,0.862
16,9.726
17,2.709
18,30.409
19,27.331
20,0.369
21,86.057
22,5.171
23,112.281
24,48.138
25,0.123
26,101.570
27,0.862
28,76.701
29,34.718
30,15.020
31,224.192
32,1.231
33,102.185
34,5.294
35,0.492
36,80.394
37,98.122
38,0.369
39,88.273
40,25.239
41,110.188
42,56.017
43,14.158
44,0.739
45,20.314
46,76.208
47,73.007
48,38.042
49,70.914
50,1.477
51,40.505
52,0.123
53,43.336
54,0.246
55,7.264
56,56.263
57,114.374
58,94.798
59,51.339
60,37.181
61,255.094
62,36.688
63,37.919
64,214.220
65,1.970
66,38.658
67,5.786
68,0.369
69,53.801
70,56.263
71,0.369
72,18.837
73,1.970
74,98.984
75,0.123
76,98.369
77,65.005
78,111.050
79,36.073
80,30.040
81,2.093
82,200.923
83,9.480
84,0.862
85,0.123
86,31.887
87,4.555
88,131.733
89,0.246
90,0.862
91,82.733
92,55.894
93,37.796
94,23.392
95,5.417
96,108.833
97,3.324
98,132.718
99,31.394
100,74.854
101,0.123
102,0.739
103,2.339
104,64.635
105,1.600
106,0.369
107,42.105
108,0.369
109,1.354
110,94.552
111,140.966
112,181.102
113,140.597
114,97.014
115,43.213
116,1.108
117,22.161
118,0.492
119,89.135
120,72.761
121,154.878
122,45.552
123,0.123
124,39.151
125,78.670
126,16.867
127,0.985
128,0.616
129,0.492
130,0.123
131,1.477
132,0.369
133,61.681
134,51.708
135,63.527
136,10.834
137,64.635
138,0.246
139,106.002
140,0.492
141,70.545
142,171.376
143,36.073
144,52.078
145,82.118
146,301.878
147,7.387
148,107.233
149,39.889
150,3.693
151,0.492
152,53.801
153,1.231
154,1.600
155,69.067
156,2.832
157,0.246
158,57.248
159,5.786
160,2.093
161,71.899
162,32.995
163,121.637
164,0.492
165,1.847
166,3.078
167,35.703
168,40.628
169,61.927
170,49.738
171,0.739
172,0.492
173,56.017
174,98.738
175,76.577
176,1.477
177,0.985
178,70.668
179,101.200
180,0.246
181,1.847
182,46.784
183,33.733
184,0.616
185,56.387
186,42.598
187,0.985
188,0.739
189,0.123
190,0.246
191,56.263
192,59.464
193,0.862
194,68.944
195,0.492
196,42.844
197,0.616
198,0.985
199,1.108
200,0.862
201,45.183
202,0.862
203,66.974
204,0.123
205,0.985
206,50.600
207,6.525
208,0.123
209,3.324
210,4.186
