 ,Area
1,28.932
2,290.182
3,0.123
4,62.665
5,198.830
6,27.208
7,31.271
8,28.440
9,181.964
10,235.642
11,0.985
12,70.299
13,95.783
14,1.970
15,106.987
16,0.739
17,59.957
18,0.123
19,58.603
20,53.432
21,0.862
22,94.306
23,1.231
24,91.844
25,1.108
26,23.269
27,57.371
28,32.625
29,48.877
30,39.643
31,0.369
32,57.495
33,19.083
34,45.552
35,26.716
36,67.590
37,21.791
38,21.545
39,0.123
40,1.108
41,42.228
42,140.720
43,102.185
44,96.030
45,49.246
46,0.246
47,35.580
48,1.970
49,51.462
50,101.570
51,358.510
52,95.168
53,0.985
54,0.739
55,797.907
56,65.743
57,0.246
58,0.492
59,0.369
60,10.095
61,78.670
62,44.814
63,32.256
64,134.934
65,28.686
66,28.070
67,0.246
68,0.492
69,66.974
70,0.739
71,51.216
72,84.211
73,21.545
74,63.281
75,296.460
76,56.510
77,32.625
78,0.123
79,68.082
80,520.653
81,31.641
82,1.724
83,212.989
84,143.921
85,75.469
86,41.367
87,165.836
88,64.635
89,19.698
90,44.198
91,50.354
92,9.849
93,58.603
94,35.457
95,195.629
96,34.595
97,5.048
98,306.063
99,0.616
100,0.123
101,219.760
102,28.316
103,0.123
104,107.602
105,1.970
106,52.939
107,51.216
108,36.196
109,11.203
110,67.959
111,54.171
112,0.246
113,471.530
114,13.173
115,0.123
116,78.917
117,33.241
118,2.709
119,27.578
120,64.635
121,9.357
122,0.369
123,98.615
124,26.470
125,83.349
126,1.354
127,21.545
128,4.678
129,30.779
130,32.872
131,16.990
132,9.234
133,20.068
134,35.088
135,31.641
136,38.289
137,30.902
138,25.485
139,0.862
140,57.371
141,92.336
142,57.618
143,108.833
144,42.844
145,36.073
146,56.633
147,26.470
148,28.440
149,23.761
150,31.148
151,1.847
152,11.450
153,0.369
154,36.688
155,40.382
156,125.331
157,56.387
158,30.040
159,61.557
160,74.608
161,91.474
162,85.319
163,47.769
164,0.739
165,111.665
166,84.457
167,39.520
168,138.627
169,20.314
170,112.281
171,3.693
172,27.701
173,0.862
174,46.537
175,2.339
176,38.781
177,31.271
178,73.376
179,4.186
180,38.166
181,76.085
182,1.231
183,9.357
184,47.645
185,3.201
186,65.620
187,25.362
188,113.881
189,46.045
190,61.188
191,7.633
192,179.378
193,42.351
194,76.947
195,32.749
196,59.834
197,57.618
198,0.616
199,34.965
200,59.711
201,95.168
202,140.351
203,7.141
204,143.059
205,34.349
206,3.324
207,33.241
208,0.985
209,1.847
210,66.974
211,30.779
212,1.231
