 ,Area
1,21.545
2,5.417
3,1.970
4,4.186
5,4.678
6,31.271
7,1.477
8,3.570
9,12.558
10,0.985
11,23.022
12,15.389
13,25.239
14,4.925
15,21.422
16,27.208
17,9.603
18,22.407
19,21.545
20,25.362
21,26.347
22,6.279
23,0.492
24,7.633
25,23.269
26,10.957
27,21.545
28,20.806
29,28.316
30,23.638
31,18.713
32,10.095
33,26.223
34,27.701
35,24.500
36,4.186
37,26.716
38,36.319
39,23.269
40,10.588
41,8.618
42,3.447
43,50.108
44,32.379
45,25.362
46,28.193
47,20.191
48,3.940
49,28.316
50,20.437
51,2.216
52,22.530
53,23.022
54,31.887
55,26.839
56,23.638
57,7.018
58,28.440
59,23.761
60,0.246
61,31.025
62,13.173
63,16.620
64,0.862
65,23.392
66,29.424
67,9.603
68,20.191
69,54.171
70,33.487
71,21.422
72,17.975
73,32.133
74,15.512
75,35.950
76,5.294
77,23.761
78,11.696
79,0.739
80,12.558
81,14.528
82,0.862
83,15.020
84,18.713
85,25.608
86,20.683
87,2.709
88,23.638
89,10.588
90,22.407
91,18.467
92,26.839
93,21.176
94,22.161
95,32.872
96,23.022
97,24.377
98,24.746
99,23.392
100,19.083
101,23.146
102,14.774
103,8.372
104,9.480
105,4.555
106,15.020
107,10.342
108,28.686
109,2.093
110,25.608
111,24.131
112,21.668
113,5.294
114,17.113
115,1.108
116,25.731
117,48.138
118,42.844
119,10.957
120,4.432
121,28.686
122,12.188
123,4.555
124,51.216
125,10.095
126,26.839
127,20.068
128,5.786
129,38.166
130,4.309
131,6.402
132,20.806
133,42.105
134,0.862
135,36.196
136,8.126
137,25.239
138,20.683
139,6.156
140,34.965
141,20.437
142,29.055
143,24.377
144,43.829
145,18.837
146,21.422
147,21.299
148,30.409
149,7.264
150,25.115
151,0.492
152,30.409
153,24.869
154,61.557
155,49.985
156,19.575
157,32.995
158,36.811
159,3.201
160,24.254
161,4.801
162,8.249
163,35.826
164,1.477
165,19.206
166,26.593
167,21.053
168,16.990
169,25.608
170,23.515
171,29.055
172,32.995
173,5.048
174,11.942
175,33.610
176,29.671
177,37.427
178,16.005
179,0.246
180,31.148
181,4.432
182,38.042
183,11.327
184,41.736
185,19.821
186,8.126
187,2.955
188,17.113
189,5.048
190,29.424
191,18.467
192,34.103
193,50.723
194,0.123
195,4.432
196,11.080
197,19.452
198,30.286
199,127.054
200,0.616
201,23.515
202,16.620
203,35.334
204,21.791
205,22.284
206,54.663
207,10.219
208,26.100
209,16.374
210,12.558
211,29.671
212,63.158
213,16.128
214,8.987
215,23.269
216,18.344
217,38.781
218,27.947
219,4.063
220,27.085
221,42.475
222,3.940
223,21.914
224,11.327
225,70.791
226,15.636
227,20.560
228,26.716
229,1.847
230,2.462
231,31.517
232,52.078
233,19.821
234,5.417
235,27.701
236,38.535
237,6.525
238,28.070
239,22.776
240,20.191
241,13.420
242,22.161
243,42.721
244,21.053
245,2.216
246,16.497
247,82.610
248,40.874
249,8.002
250,28.563
251,7.018
252,55.032
253,38.289
254,23.146
255,22.161
256,13.173
257,29.301
258,25.485
259,15.636
260,27.455
261,23.146
262,19.698
263,18.344
264,28.316
265,16.128
266,44.568
267,31.764
268,32.379
269,16.128
270,29.178
271,22.038
272,6.894
273,17.852
274,25.115
275,16.374
276,42.844
277,19.575
278,4.678
279,6.279
280,17.852
281,57.495
282,12.558
283,25.115
284,10.957
285,40.012
286,21.545
287,34.965
288,22.161
289,32.749
290,2.585
291,12.804
292,3.201
293,27.455
294,3.447
295,17.113
296,27.085
297,28.193
298,0.369
299,44.568
300,15.759
301,6.402
302,46.661
303,16.990
304,20.437
305,17.359
306,2.955
307,9.357
308,30.656
309,34.103
310,21.914
311,47.645
312,20.437
313,19.329
314,42.598
315,0.369
316,19.329
317,30.040
318,25.608
319,28.932
320,22.530
321,40.135
322,4.309
323,19.083
324,33.733
325,26.593
326,29.671
327,31.148
328,22.776
329,3.940
330,30.409
331,6.648
332,7.264
333,38.781
334,15.143
335,3.447
336,45.183
337,18.344
338,27.578
339,42.967
340,19.452
341,45.060
342,27.824
343,49.861
344,45.306
345,18.590
346,20.191
347,57.002
348,45.429
349,25.239
350,4.063
351,28.809
352,1.108
353,29.917
354,33.241
355,32.256
356,19.945
357,24.500
358,4.432
359,3.817
360,44.937
361,6.156
362,33.980
363,21.299
364,21.176
365,48.877
366,27.947
367,22.407
368,61.311
369,4.555
370,12.435
371,28.809
372,22.284
373,9.972
374,31.148
375,44.198
376,22.899
377,54.663
378,5.417
379,60.449
380,29.671
381,8.372
382,27.947
383,60.326
384,5.048
385,72.884
386,60.080
387,11.450
388,39.274
389,13.050
390,30.779
391,47.276
392,19.945
393,28.809
394,35.826
395,49.985
396,33.487
397,63.773
398,27.331
399,2.462
400,89.628
401,0.492
402,11.696
403,10.711
404,40.874
405,35.088
406,37.058
407,25.977
408,2.955
409,31.148
410,20.191
411,41.243
412,16.990
413,22.038
414,7.510
415,23.515
416,53.801
417,21.545
418,12.435
419,0.862
420,57.864
421,3.570
422,45.306
423,26.347
424,34.349
425,25.608
426,32.625
427,30.532
428,24.500
