 ,Area
533,1.231
534,2.339
535,1.970
536,45.676
537,46.414
538,34.965
539,0.862
540,34.595
541,1.108
542,0.862
543,11.696
544,2.955
545,152.539
546,52.570
547,33.241
548,60.696
549,42.844
550,34.349
551,1.724
552,40.505
553,31.394
554,45.676
555,37.427
556,65.128
557,0.492
558,44.321
559,85.072
560,47.030
561,26.223
562,28.932
563,31.641
564,70.791
565,59.957
566,46.907
567,6.402
568,45.552
569,48.015
570,34.965
571,4.186
572,23.515
573,68.944
574,55.402
575,62.912
576,36.073
577,10.834
578,120.160
579,51.462
580,1.477
581,45.429
582,93.813
583,9.849
584,61.557
585,26.223
586,54.909
587,49.985
588,32.625
589,102.432
590,27.331
591,64.758
592,22.899
593,23.392
594,97.138
595,87.658
596,67.836
597,27.455
598,19.206
599,0.123
600,2.709
601,102.308
602,1.477
603,11.942
604,0.616
605,2.832
606,38.042
607,41.367
608,0.123
609,0.985
610,69.806
611,1.108
612,54.294
613,63.650
614,9.357
615,1.108
616,50.723
617,0.123
618,0.492
619,0.369
620,0.369
621,0.616
622,74.361
623,32.872
624,38.042
625,30.163
626,0.246
627,164.974
628,99.231
629,0.616
630,66.605
631,27.455
632,0.123
633,5.048
634,41.613
635,0.492
636,45.552
637,38.781
638,0.616
639,30.409
640,0.862
641,1.600
642,0.369
643,42.967
644,51.954
645,24.377
646,32.995
647,3.324
648,27.455
649,31.764
650,0.369
651,51.831
652,16.990
653,62.419
654,24.007
655,69.437
656,91.844
657,0.492
658,1.477
659,55.279
660,57.618
661,61.804
662,62.665
663,51.831
664,5.048
665,41.367
666,34.103
667,1.477
668,36.319
669,48.384
670,18.837
671,35.088
672,10.711
673,43.090
674,0.739
675,30.532
676,6.033
677,0.862
678,0.862
679,0.862
680,29.917
681,47.153
682,19.698
683,0.123
684,31.271
685,0.862
686,33.364
687,26.223
688,12.311
689,1.231
690,9.849
691,2.216
