 ,Label,Area,Mean,Min,Max
105,1.jpg,2127,11.2938,-56.9059,71.9082
106,1.jpg,1346,8.3239,-106.4389,87.4080
107,1.jpg,1614,7.6730,-53.5974,65.8709
108,1.jpg,855,18.0380,-59.6712,77.9181
109,1.jpg,216,8.3071,-39.9233,54.3250
110,1.jpg,194,65.0872,12.1506,79.2904
111,1.jpg,12,-45.0032,-50.0103,-17.2731
112,1.jpg,855,7.5003,-88.4821,86.4047
113,1.jpg,221,-68.2708,-97.1864,16.1725
114,1.jpg,357,71.9833,37.8167,83.2207
115,1.jpg,1411,16.5187,-47.9513,67.9340
116,1.jpg,413,9.6608,-63.9518,60.7004
117,1.jpg,500,-52.1416,-106.5239,20.4273
118,1.jpg,385,9.3291,-51.8219,57.5187
119,1.jpg,914,2.0144,-109.3177,89.1006
120,1.jpg,800,-14.7063,-60.8231,23.2968
121,1.jpg,238,-72.9038,-97.4146,-43.9166
122,1.jpg,44,-12.6400,-26.2567,17.1813
123,1.jpg,260,74.4915,30.1757,85.4484
124,1.jpg,18,75.5743,65.8693,79.2616
125,1.jpg,468,11.5400,-39.2941,77.6637
126,1.jpg,577,9.6080,-34.2622,70.2213
127,1.jpg,152,0.5732,-7.0370,9.9243
128,1.jpg,376,-29.3691,-88.1979,20.5726
129,1.jpg,757,-3.1673,-85.5798,56.4650
130,1.jpg,937,14.4048,-47.5769,68.1177
131,1.jpg,1546,7.2487,-88.2314,81.6755
132,1.jpg,637,1.8939,-87.5332,61.4830
133,1.jpg,144,71.1244,-1.6586,88.8577
134,1.jpg,453,-9.0998,-99.6184,81.7515
135,1.jpg,152,-70.0024,-102.4360,-26.8741
136,1.jpg,732,18.8012,-61.3504,80.0160
137,1.jpg,2543,13.2201,-52.5890,74.7096
138,1.jpg,198,-34.9488,-71.3967,5.1763
139,1.jpg,83,5.0213,-11.5306,20.6280
140,1.jpg,966,17.5100,-47.2322,65.4542
141,1.jpg,462,-14.7271,-90.6331,62.5584
142,1.jpg,706,-5.2835,-71.9480,69.5101
143,1.jpg,2,5.0553,3.5231,6.5875
144,1.jpg,611,18.2060,-33.8570,79.3801
145,1.jpg,231,67.7087,48.8164,79.6772
146,1.jpg,18,10.9035,2.4761,24.6492
147,1.jpg,13,-14.5859,-23.1992,-4.2197
148,1.jpg,641,15.7583,-41.7043,75.1394
149,1.jpg,422,-15.7285,-75.7851,33.4778
150,1.jpg,13,-17.5617,-28.7608,-13.4570
151,1.jpg,1081,8.9618,-39.0496,69.3907
152,1.jpg,317,-70.7059,-103.6137,-33.4212
153,1.jpg,326,16.9888,-77.4581,71.7381
154,1.jpg,422,-7.2169,-92.1873,84.1809
155,1.jpg,544,-2.3309,-50.8979,33.2235
156,1.jpg,312,72.2451,18.2724,83.4082
157,1.jpg,282,-70.1434,-95.2451,-24.6842
158,1.jpg,542,4.9341,-102.9774,85.1657
159,1.jpg,1,-19.6657,-19.6657,-19.6657
160,1.jpg,7,-26.3516,-31.6897,-19.7229
161,1.jpg,908,4.0409,-106.7261,87.7893
162,1.jpg,10,-13.9450,-16.7854,-10.2215
163,1.jpg,986,7.8194,-102.3415,91.0621
164,1.jpg,1054,-3.6105,-92.7968,88.6044
165,1.jpg,246,-24.4054,-52.3670,16.3240
166,1.jpg,1081,8.1919,-93.9532,89.3216
167,1.jpg,324,10.9745,-62.1561,76.7328
168,1.jpg,153,57.7029,33.9228,73.7241
169,1.jpg,437,-6.7136,-77.4328,48.1095
170,1.jpg,640,-8.1356,-84.4449,85.9453
171,1.jpg,11,-2.7222,-9.8988,6.5261
172,1.jpg,1057,-10.5308,-69.5797,56.6291
173,1.jpg,237,-68.4634,-85.9806,-35.0804
174,1.jpg,619,12.4055,-80.2391,64.7914
175,1.jpg,331,71.9750,2.0474,86.1964
176,1.jpg,165,-74.7054,-89.3238,-40.4320
177,1.jpg,274,-72.2463,-98.4641,-31.9118
178,1.jpg,161,54.5931,16.3906,70.7978
179,1.jpg,41,2.4251,-13.7643,22.9731
180,1.jpg,473,6.9966,-73.4783,84.5100
181,1.jpg,569,21.6775,-57.3474,78.4145
182,1.jpg,11,-0.3197,-4.7747,5.2881
183,1.jpg,20,-32.6354,-37.7716,-22.5721
184,1.jpg,508,10.1784,-82.9867,77.5241
185,1.jpg,206,-25.8316,-75.4578,35.9940
186,1.jpg,10,-15.7999,-29.0433,-1.9291
187,1.jpg,4,44.6263,23.7936,52.7314
188,2.jpg,375,17.4733,-49.7851,61.6400
189,2.jpg,13,-53.3392,-63.0198,-39.3994
190,2.jpg,27,-4.7616,-10.3474,7.6114
191,2.jpg,1,7.4530,7.4530,7.4530
192,2.jpg,9,-5.9193,-20.0934,9.0662
193,2.jpg,327,21.7257,-38.0557,79.5944
194,2.jpg,151,15.0733,0.5002,46.1397
195,2.jpg,6,0.3865,-4.9002,5.7252
196,2.jpg,261,-1.5462,-50.4523,48.3966
197,2.jpg,324,20.3553,-7.5937,59.8197
198,2.jpg,413,2.3042,-20.6382,40.8935
199,2.jpg,70,-11.8999,-21.1206,-2.2283
200,2.jpg,9,7.9959,4.5637,11.1937
201,2.jpg,312,12.4239,-21.8252,66.3457
202,2.jpg,316,-9.5318,-46.2737,25.6057
203,2.jpg,54,0.3331,-1.2336,5.7252
204,2.jpg,551,7.1963,-37.7944,63.1838
205,2.jpg,886,0.5234,-49.4224,45.4379
206,2.jpg,458,0.8505,-52.1036,64.7373
207,2.jpg,403,-7.1281,-36.1824,31.4672
208,2.jpg,70,-6.6770,-14.4208,5.2672
209,2.jpg,416,8.2612,-34.3994,70.8129
210,2.jpg,928,11.7734,-40.8535,68.1047
211,2.jpg,31,2.2407,-15.9670,25.9290
212,2.jpg,335,-5.6309,-48.5173,35.6629
213,2.jpg,235,-10.0776,-67.4018,39.8477
214,2.jpg,324,3.0309,-57.2632,65.6820
215,2.jpg,25,-12.1297,-17.5326,-4.4650
216,2.jpg,405,0.9481,-92.5962,66.0892
217,2.jpg,224,8.1195,-36.8251,64.0286
218,2.jpg,852,4.7988,-52.6443,57.8020
219,2.jpg,367,15.4454,-28.6777,68.3085
220,2.jpg,1077,5.3872,-91.2718,75.7100
221,2.jpg,403,7.9835,-98.0035,87.6498
222,2.jpg,332,12.6239,-69.0879,75.8281
223,2.jpg,58,-0.4668,-18.1223,15.9512
224,2.jpg,501,19.8763,-27.9697,58.0434
225,2.jpg,389,3.8479,-41.8124,61.4780
226,2.jpg,417,0.7016,-93.8580,81.8904
227,2.jpg,636,10.3031,-86.5233,84.4510
228,2.jpg,30,-19.4812,-39.1143,-2.3742
229,2.jpg,127,-40.8467,-65.0281,8.3284
