 ,Area
1,39
2,163
3,131
4,358
5,9
6,1
7,165
8,538
9,121
10,512
11,1823
12,4
13,154
14,1907
15,579
16,517
17,636
18,475
19,1084
20,696
21,186
22,304
23,1031
24,184
25,447
26,206
27,609
28,553
29,464
30,1049
31,855
32,809
33,651
34,1433
35,1049
36,611
37,1278
38,576
39,565
40,7
41,8
42,26
43,1647
44,279
45,954
46,305
47,629
48,1229
49,502
50,199
51,674
52,247
53,618
54,1735
55,702
56,235
57,585
58,715
59,654
60,571
61,779
62,1085
63,429
64,777
65,495
66,1190
67,1544
68,1143
69,668
70,239
71,1384
72,1206
73,249
74,660
75,987
76,145
77,919
78,1224
79,45
80,798
81,242
82,668
83,202
84,481
85,480
86,936
87,422
88,963
89,411
90,521
91,676
92,382
93,1148
94,2422
95,674
96,324
97,1211
98,136
99,1298
100,2035
101,825
102,1005
103,1571
104,768
105,1394
106,289
107,769
108,405
109,987
110,324
111,769
112,532
113,1098
114,2113
115,798
116,875
117,1368
118,549
119,570
120,1205
121,645
122,835
123,253
124,747
125,151
126,350
127,267
128,629
129,614
130,1028
131,1007
132,1018
133,557
134,602
135,648
136,534
137,888
138,731
139,646
140,580
141,386
142,650
143,634
144,1382
145,902
146,1091
147,2
148,716
149,1173
150,588
151,180
152,574
153,732
154,1133
155,95
156,779
157,238
158,608
159,2502
160,1156
161,978
162,239
163,724
164,702
165,207
166,1
167,342
168,685
169,837
170,7
171,712
172,1545
173,12
174,27
175,657
176,154
177,708
178,723
179,1531
180,242
181,686
182,848
183,743
184,2361
185,1331
186,650
187,398
188,251
189,779
190,1073
191,195632
192,1075
193,762
194,7
195,120
196,243
197,205
198,1179
199,1610
200,7
201,7
202,865
203,4913
204,1515
205,2049
206,1293
207,14
208,207
209,14
210,442
211,2
212,13
213,554
214,2523
215,1056
216,35
217,1324
218,1049
219,538
220,268
221,703
222,475
223,504
224,139
225,367
226,1652
227,4
228,10
229,1968
230,2464
231,613
232,14
233,6
234,2
235,1542
236,16
237,34771
238,88
239,9
240,878
241,1201
242,4
243,644
244,859
245,1072
246,231
247,690
248,180
249,285
250,565
251,458
252,250
253,1407
254,5
255,1746
256,3
257,738
258,4653
259,1
260,279
261,16
262,1839
263,27
264,1209
265,4
266,30
267,2
268,10
269,810
270,4
271,122
272,215
273,21
274,19
275,8
276,323
277,628
278,16
279,1113
280,282
281,1402
282,938
283,1809
284,769
285,1232
286,1123
287,833
288,727
289,708
290,1021
291,933
292,251
293,1411
294,3476
295,253
296,270
297,2
298,2830
299,112
300,607
301,925
302,1285
303,4
304,2303
305,692
306,2016
307,763
308,265
309,1231
310,617
311,281
312,1157
313,13
314,714
315,793
316,625
317,656
318,3398
319,934
320,171
321,656
322,180248
323,850
324,525
325,1163
