 ,Area
1,235
2,2357
3,1
4,509
5,1615
6,221
7,254
8,231
9,1478
10,1914
11,8
12,571
13,778
14,16
15,869
16,6
17,487
18,1
19,476
20,434
21,7
22,766
23,10
24,746
25,9
26,189
27,466
28,265
29,397
30,322
31,3
32,467
33,155
34,370
35,217
36,549
37,177
38,175
39,1
40,9
41,343
42,1143
43,830
44,780
45,400
46,2
47,289
48,16
49,418
50,825
51,2912
52,773
53,8
54,6
55,6481
56,534
57,2
58,4
59,3
60,82
61,639
62,364
63,262
64,1096
65,233
66,228
67,2
68,4
69,544
70,6
71,416
72,684
73,175
74,514
75,2408
76,459
77,265
78,1
79,553
80,4229
81,257
82,14
83,1730
84,1169
85,613
86,336
87,1347
88,525
89,160
90,359
91,409
92,80
93,476
94,288
95,1589
96,281
97,41
98,2486
99,5
100,1
101,1785
102,230
103,1
104,874
105,16
106,430
107,416
108,294
109,91
110,552
111,440
112,2
113,3830
114,107
115,1
116,641
117,270
118,22
119,224
120,525
121,76
122,3
123,801
124,215
125,677
126,11
127,175
128,38
129,250
130,267
131,138
132,75
133,163
134,285
135,257
136,311
137,251
138,207
139,7
140,466
141,750
142,468
143,884
144,348
145,293
146,460
147,215
148,231
149,193
150,253
151,15
152,93
153,3
154,298
155,328
156,1018
157,458
158,244
159,500
160,606
161,743
162,693
163,388
164,6
165,907
166,686
167,321
168,1126
169,165
170,912
171,30
172,225
173,7
174,378
175,19
176,315
177,254
178,596
179,34
180,310
181,618
182,10
183,76
184,387
185,26
186,533
187,206
188,925
189,374
190,497
191,62
192,1457
193,344
194,625
195,266
196,486
197,468
198,5
199,284
200,485
201,773
202,1140
203,58
204,1162
205,279
206,27
207,270
208,8
209,15
210,544
211,250
212,10
