 ,Area
1,44.075
2,2.462
3,0.123
4,0.123
5,41.736
6,22.776
7,0.616
8,1.724
9,0.492
10,28.809
11,39.889
12,55.402
13,2.216
14,54.540
15,1.231
16,60.203
17,51.831
18,33.733
19,0.985
20,50.970
21,91.105
22,41.736
23,47.276
24,0.123
25,15.512
26,0.862
27,112.650
28,38.904
29,36.811
30,1.354
31,2.832
32,24.500
33,129.763
34,52.078
35,49.985
36,42.844
37,43.952
38,2.093
39,42.228
40,70.175
41,0.246
42,0.985
43,43.706
44,52.201
45,74.977
46,63.650
47,1.724
48,12.435
49,0.369
50,0.492
51,2.462
52,0.739
53,41.859
54,40.505
55,95.291
56,0.123
57,39.274
58,2.462
59,5.417
60,0.369
61,20.683
62,0.246
63,2.093
64,1.477
65,1.354
66,86.796
67,40.259
68,48.015
69,26.100
70,1.477
71,0.492
72,0.246
73,3.201
74,2.216
75,2.339
76,38.166
77,0.492
78,61.681
79,156.479
80,38.412
81,25.608
82,47.769
83,3.570
84,30.779
85,42.105
86,42.967
87,25.854
88,27.701
89,33.241
90,0.123
91,0.492
92,37.919
93,42.598
94,0.492
95,5.171
96,28.563
97,35.703
98,75.839
99,98.122
100,34.472
101,0.492
102,2.585
103,88.273
104,8.249
105,45.552
106,87.781
107,2.339
108,54.786
109,0.616
110,35.211
111,1.724
112,7.879
113,40.382
114,0.369
115,47.399
116,30.163
117,42.721
118,0.739
119,3.078
120,0.123
121,44.568
122,0.616
123,1.724
124,11.450
125,0.616
126,0.246
127,0.123
128,0.985
129,2.585
130,0.123
131,0.739
132,0.246
133,30.409
134,5.786
135,3.078
136,0.862
137,3.693
138,24.500
139,20.806
140,20.560
141,1.108
142,244.629
143,31.517
144,27.085
145,167.313
146,1.724
147,43.829
148,0.492
149,0.123
150,0.369
151,29.424
152,30.532
153,50.108
154,35.950
155,35.703
156,80.394
157,0.492
158,0.123
159,0.739
160,263.096
161,136.657
162,93.198
163,24.623
164,1.231
165,36.319
166,21.176
167,204.001
168,6.648
169,37.673
170,40.628
171,54.047
172,56.879
173,0.123
174,55.648
175,1.354
176,2.339
177,1.354
178,40.751
179,19.945
180,103.416
181,80.763
182,2.832
183,3.201
184,0.616
185,0.123
186,26.962
187,1.108
188,69.683
189,59.834
190,43.952
191,35.211
192,8.126
193,34.965
194,35.580
195,30.409
196,2.093
197,58.726
198,35.703
199,35.580
200,1.231
201,34.226
202,31.764
203,0.616
204,0.246
205,0.862
206,2.832
207,0.246
208,2.585
209,11.819
210,73.746
211,24.992
212,38.289
213,0.492
214,57.495
215,4.186
216,0.616
217,0.246
218,39.889
219,40.012
220,0.492
221,0.123
222,35.703
223,44.568
224,1.231
225,0.739
226,62.912
227,125.454
228,26.347
229,74.238
230,122.376
231,0.123
232,174.823
233,41.490
234,1.724
235,95.045
236,42.721
237,48.261
238,26.593
239,30.040
240,56.387
241,0.246
242,0.616
243,42.475
244,63.035
245,0.369
246,25.731
247,2.955
248,4.678
249,33.610
250,39.274
251,7.264
252,0.123
253,0.123
254,3.078
255,0.369
256,44.691
257,136.781
258,7.879
259,30.532
260,0.123
261,0.123
262,59.834
263,0.739
264,44.075
265,14.281
266,34.841
267,39.397
268,38.166
269,2.462
270,210.773
271,0.369
272,0.246
273,0.123
274,68.082
275,0.616
276,81.625
277,68.944
278,2.093
279,77.439
280,30.779
281,68.329
282,1.477
283,82.487
284,0.246
285,3.570
286,32.379
287,13.050
288,1.231
289,44.198
290,88.273
291,1.354
292,0.985
293,2.339
294,29.548
295,2.093
296,87.042
297,117.205
298,85.565
299,133.456
300,46.168
301,1.231
302,63.158
303,61.311
304,0.369
305,85.319
306,11.327
307,76.454
308,9.972
309,0.492
310,0.123
311,72.761
312,3.940
313,0.492
314,0.492
315,77.809
316,8.126
317,3.324
318,0.492
319,0.492
320,84.087
321,0.369
322,81.010
323,49.000
324,55.402
