 ,Area
1,4.801
2,37.181
3,44.075
4,1.108
5,0.123
6,20.314
7,66.236
8,14.897
9,63.035
10,224.438
11,0.492
12,18.960
13,234.780
14,71.283
15,63.650
16,78.301
17,58.480
18,133.456
19,85.688
20,47.153
21,167.067
22,55.032
23,25.362
24,74.977
25,68.082
26,57.125
27,129.147
28,105.263
29,99.600
30,80.148
31,180.117
32,129.147
33,75.223
34,157.341
35,70.914
36,69.560
37,0.862
38,0.985
39,654.232
40,61.188
41,117.452
42,70.175
43,77.439
44,151.308
45,61.804
46,82.979
47,76.085
48,86.427
49,28.932
50,72.022
51,80.517
52,70.299
53,95.906
54,133.580
55,95.660
56,60.942
57,146.507
58,190.089
59,140.720
60,29.424
61,170.391
62,148.476
63,30.656
64,81.256
65,129.763
66,17.852
67,113.143
68,1266.359
69,56.756
70,84.703
71,59.218
72,59.957
73,51.954
74,118.560
75,50.600
76,83.226
77,298.184
78,84.457
79,39.889
80,149.092
81,16.744
82,159.803
83,101.570
84,123.730
85,193.413
86,94.552
87,171.622
88,77.932
89,94.675
90,49.861
91,121.514
92,469.437
93,138.135
94,260.142
95,98.246
96,107.725
97,168.421
98,106.248
99,66.851
100,18.590
101,43.090
102,77.439
103,75.592
104,126.562
105,125.331
106,68.575
107,74.115
108,65.743
109,110.803
110,89.997
111,79.532
112,71.407
113,47.522
114,636.380
115,170.145
116,111.050
117,134.318
118,0.246
119,90.859
120,144.414
121,22.161
122,70.668
123,374.515
124,139.489
125,95.906
126,61.065
127,74.854
128,171.253
129,89.135
130,0.123
131,84.334
132,0.862
133,87.658
134,190.212
135,3.324
136,80.886
137,18.960
138,88.643
139,89.012
140,99454.109
141,321.453
142,84.457
143,104.401
144,91.474
145,163.866
146,80.025
147,82.241
148,95.906
149,132.102
150,1056.941
151,93.813
152,0.862
153,29.917
154,52.816
155,0.862
156,0.862
157,106.494
158,186.519
159,159.187
160,1.724
161,1.724
162,54.417
163,0.246
164,1.600
165,130.009
166,610.649
167,66.236
168,122.376
169,17.113
170,46.168
171,203.386
172,0.492
173,1.231
174,1.724
175,0.739
176,0.246
177,1.970
178,10.834
179,1.108
180,147.861
181,0.492
182,79.286
183,131.979
184,85.811
185,35.088
186,69.560
187,56.633
188,173.223
189,0.616
190,90.859
191,0.123
192,34.349
193,1.970
194,3.324
195,149.461
196,0.492
197,0.246
198,1.231
199,0.492
200,83.841
201,2.585
202,2.339
203,39.766
204,310.865
205,1.970
206,222.715
207,102.555
208,243.644
209,64.389
210,33.241
211,0.246
212,13.789
213,149.954
214,158.203
215,0.492
216,248.199
217,93.937
218,32.625
219,235.642
220,75.962
221,1.600
222,87.904
223,97.630
224,76.947
225,80.763
226,114.989
227,71.037
228,104.648
229,143.183
230,306.310
231,216.190
232,52.078
233,173.961
234,164.974
235,7.264
236,121.022
237,57.495
238,0.616
239,80.517
240,1328.163
241,96.522
242,49.492
243,86.303
244,305.078
245,79.902
246,21.299
247,177.901
248,1033.672
249,0.123
250,440.505
251,64.512
252,122.992
253,0.369
254,204.124
255,642.290
256,0.369
257,661.250
258,25.239
259,156.356
260,0.862
261,190.582
262,1.108
263,106.125
264,287.227
265,0.246
266,162.019
267,64.512
268,49.738
269,29.671
270,107.479
271,329.701
272,131.240
273,91.228
274,0.123
275,226.901
276,79.409
277,140.597
278,347.676
279,117.328
280,85.811
281,50.354
282,74.115
283,142.567
284,113.881
285,65.743
286,49.123
287,149.954
288,71.530
289,86.303
290,162.881
291,204.986
292,203.509
293,59.711
294,77.562
295,76.577
296,21.053
297,0.492
298,85.688
299,15.512
300,97.261
301,289.443
302,106.125
303,0.739
304,68.575
305,84.580
306,44.691
307,373.530
308,55.032
309,60.696
310,91.844
311,87.904
312,89.751
313,55.525
314,98.738
315,0.123
316,0.369
317,664.820
318,482.979
319,72.884
320,70.791
321,184.672
322,518.067
323,116.713
324,79.286
325,86.550
326,79.902
327,2.093
328,0.739
329,95.537
330,0.246
331,453.555
332,187.504
333,261.988
334,506.248
335,84.580
336,66.728
337,90.243
338,106.125
339,1.477
340,180.856
341,199.692
342,123.115
343,0.246
344,253.247
345,126.808
346,56.140
347,25.239
348,98.861
349,68.575
350,88.396
351,92.213
352,0.369
353,1.477
354,159.680
355,0.246
356,63.035
357,83.595
358,0.123
359,31.025
360,100.831
361,91.474
362,118.190
363,627.886
364,119.175
365,2.216
366,0.616
367,112.281
368,0.123
369,1.108
370,4.063
371,127.424
372,105.756
373,92.336
374,2.585
375,105.017
376,152.047
377,140.474
378,19.575
379,0.492
380,0.369
381,86.427
382,34.103
383,51.708
384,87.535
385,79.286
386,58.110
387,286.119
388,104.401
389,165.097
390,169.283
391,90.489
392,137.765
393,305.571
394,225.423
395,111.050
396,185.780
397,891.597
398,75.839
399,53.801
400,72.638
401,170.760
402,118.313
403,76.331
404,0.862
405,108.587
406,165.343
407,93.321
408,112.281
409,73.130
410,104.648
411,63.773
412,2.585
413,103.786
414,0.123
415,82.241
416,110.803
417,117.821
418,48.507
419,73.130
420,156.110
421,42.105
422,1.231
423,38.904
424,32.872
425,16.374
426,6.033
427,1.970
